"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Garrett Brown","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".241",".284",".526",".228","","-100","0.0","0.0","","-0.1","0.0","","sa602676"
"Ayendy Perez","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".247",".272",".519",".228","","40","0.0","0.0","","-0.1","0.0","0.0","sa657141"
"Braden Shewmake","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".243",".282",".525",".228","","34","0.0","0.0","","-0.1","0.0","0.0","sa3010332"
"Jose Herrera","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".246",".275",".520",".228","","34","0.0","0.0","","-0.1","0.0","0.0","sa830295"
"Angel Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".245",".275",".519",".228","","-100","0.0","0.0","","-0.1","0.0","","sa657775"
"Ivan Bellazetin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".245",".276",".521",".228","","-100","0.0","0.0","","-0.1","0.0","","sa508654"
"Demetrius Sims","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".246",".275",".522",".228","","40","0.0","0.0","","-0.1","0.0","0.0","sa3004390"
"Garrett Whitley","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".168",".246",".266",".511",".228","","39","0.0","0.0","","-0.1","0.0","0.0","sa874244"
"Tucker Neuhaus","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".235",".295",".530",".228","","34","0.0","0.0","","-0.1","0.0","0.0","sa737623"
"Welfrin Mateo","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".242",".282",".524",".228","","35","0.0","0.0","","-0.1","0.0","0.0","sa827963"
"J.C. Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".240",".281",".521",".228","","-100","0.0","0.0","","-0.1","0.0","","sa736688"
"Juan Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".241",".284",".525",".228","","-100","0.0","0.0","","-0.1","0.0","","sa502541"
"Jake Scudder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".237",".289",".525",".228","","-100","0.0","0.0","","-0.1","0.0","","sa3004512"
"Ryan McCarvel","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".237",".284",".522",".228","","37","0.0","0.0","","-0.1","0.0","0.0","sa875799"
"Anfernee Grier","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".244",".274",".518",".228","","34","0.0","0.0","","-0.1","0.0","0.0","sa738988"
"Ryan Nagle","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".243",".281",".524",".227","","37","0.0","0.0","","-0.1","0.0","0.0","sa875864"
"Marino Campana","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".232",".298",".530",".227","","32","0.0","0.0","","-0.1","0.0","0.0","sa872486"
"Trent Gilbert","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".242",".282",".524",".227","","39","0.0","0.0","","-0.1","0.0","0.0","sa599526"
"Wagner Lagrange","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".243",".280",".523",".227","","41","0.0","0.0","","-0.1","0.0","0.0","sa875875"
"Reed Harper","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".248",".269",".516",".227","","-100","0.0","0.0","","-0.1","0.0","","sa738433"
"Robbie Thorburn","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".241",".282",".523",".227","","36","0.0","0.0","","-0.1","0.0","0.0","sa3004240"
"Jeff Arnold","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".243",".271",".514",".227","","-100","0.0","0.0","","-0.1","0.0","","sa549361"
"Luis Valdes","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".241",".281",".523",".227","","36","0.0","0.0","","-0.1","0.0","0.0","sa863270"
"Nick Choruby","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".248",".263",".511",".227","","-100","0.0","0.0","","-0.1","0.0","","sa3004881"
"Michael Bernal","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".244",".275",".519",".227","","-100","0.0","0.0","","-0.1","0.0","","sa918667"
"Mark Kolozsvary","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".243",".270",".513",".227","","33","0.0","0.0","","-0.1","0.0","0.0","sa3004996"
"Matt Gonzalez","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".244",".278",".521",".227","","33","0.0","0.0","","-0.1","0.0","0.0","sa658167"
"Oswaldo Cabrera","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".243",".278",".521",".227","","35","0.0","0.0","","-0.1","0.0","0.0","sa916954"
"Darrell Miller","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".238",".286",".524",".227","","-100","0.0","0.0","","-0.1","0.0","","sa658990"
"Ciro Norzagaray","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".250",".260",".510",".227","","-100","0.0","0.0","","-0.1","0.0","","sa3002597"
"Raul Siri","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".246",".269",".515",".227","","37","0.0","0.0","","-0.1","0.0","0.0","sa828166"
"Carlos Machado","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".238",".289",".527",".227","","40","0.0","0.0","","-0.1","0.0","0.0","sa872756"
"Carlos Alberto Gastelum","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".254",".257",".511",".227","","-100","0.0","0.0","","-0.1","0.0","","sa198097"
"Ricardo Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".239",".280",".519",".227","","-100","0.0","0.0","","-0.1","0.0","","sa658082"
"Refugio Cervantes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".231",".295",".526",".227","","-100","0.0","0.0","","-0.1","0.0","","sa185724"
"Shean Michel","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".248",".264",".512",".227","","33","0.0","0.0","","-0.1","0.0","0.0","sa877018"
"Heiker Meneses","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".250",".264",".515",".227","","-100","0.0","0.0","","-0.1","0.0","","sa506229"
"Matt Winn","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".241",".277",".518",".227","","37","0.0","0.0","","-0.1","0.0","0.0","sa858059"
"Dalton Guthrie","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".237",".288",".525",".227","","35","0.0","0.0","","-0.1","0.0","0.0","sa829836"
"Hansel Moreno","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".238",".283",".521",".227","","40","0.0","0.0","","-0.1","0.0","0.0","sa833676"
"Javier Guerra","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".231",".296",".527",".227","","37","0.0","0.0","","-0.1","0.0","0.0","17292"
"Daniel Schneemann","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".244",".273",".517",".226","","32","0.0","0.0","","-0.1","0.0","0.0","sa3006936"
"MJ Melendez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".232",".289",".521",".226","","34","0.0","0.0","","-0.1","0.0","0.0","sa3004139"
"J.B. Moss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".233",".290",".523",".226","","-100","0.0","0.0","","-0.1","0.0","","sa918029"
"Jose Gutierrez","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".234",".290",".524",".226","","35","0.0","0.0","","-0.1","0.0","0.0","sa917301"
"Gilbert Lara","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".238",".289",".526",".226","","33","0.0","0.0","","-0.1","0.0","0.0","sa877337"
"Ricardo Cubillan","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".255",".252",".506",".226","","31","0.0","0.0","","-0.1","0.0","0.0","sa917089"
"Danny Hudzina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".232",".296",".527",".226","","-100","0.0","0.0","","-0.1","0.0","","sa918201"
"Jerome Pena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".175",".244",".265",".509",".226","","-100","0.0","0.0","","-0.1","0.0","","sa503393"
"Anthony Concepcion","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".239",".279",".517",".226","","33","0.0","0.0","","-0.1","0.0","0.0","sa872502"
"Francisco Cordoba","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".240",".276",".516",".226","","-100","0.0","0.0","","-0.1","0.0","","sa509741"
"Jonah Todd","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".250",".258",".509",".226","","-100","0.0","0.0","","-0.1","0.0","","sa3002724"
"Shane Mardirosian","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".243",".274",".517",".226","","-100","0.0","0.0","","-0.1","0.0","","sa829138"
"Robert Vasquez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".244",".271",".515",".226","","-100","0.0","0.0","","-0.1","0.0","","sa396251"
"Yan Sanchez","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".245",".275",".520",".226","","33","0.0","0.0","","-0.1","0.0","0.0","sa828285"
"Melvin Novoa","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".237",".286",".522",".226","","28","0.0","0.0","","-0.1","0.0","0.0","sa827953"
"Dennis Ortega","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".241",".278",".519",".226","","36","0.0","0.0","","-0.1","0.0","0.0","sa828381"
"Rubendy Jaquez","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".247",".269",".516",".226","","34","0.0","0.0","","-0.1","0.0","0.0","sa917022"
"Andres Luna","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".233",".290",".523",".226","","36","0.0","0.0","","-0.1","0.0","0.0","sa828379"
"David Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".250",".262",".512",".226","","-100","0.0","0.0","","-0.1","0.0","","sa596234"
"DJ Jenkins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".245",".270",".515",".226","","-100","0.0","0.0","","-0.1","0.0","","sa918613"
"Gabriel Mejia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".246",".268",".514",".226","","-100","0.0","0.0","","-0.1","0.0","","sa828213"
"Elio Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".237",".283",".520",".226","","-100","0.0","0.0","","-0.1","0.0","","sa597594"
"Sandro Fabian","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".235",".288",".522",".226","","37","0.0","0.0","","-0.1","0.0","0.0","sa872803"
"Rudy Martin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".243",".269",".512",".226","","34","0.0","0.0","","-0.1","0.0","0.0","sa829374"
"Brady Whalen","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".241",".278",".518",".226","","36","0.0","0.0","","-0.1","0.0","0.0","sa918278"
"Luis Fonseca","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".233",".292",".525",".226","","-100","0.0","0.0","","-0.1","0.0","","sa592342"
"Eguy Rosario","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".244",".273",".517",".226","","37","0.0","0.0","","-0.1","0.0","0.0","sa917140"
"Eleardo Cabrera","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".241",".274",".516",".226","","38","0.0","0.0","","-0.1","0.0","0.0","sa826658"
"Ryan Scott","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".244",".265",".509",".226","","38","0.0","0.0","","-0.1","0.0","0.0","sa738447"
"Alejandro Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".235",".283",".518",".226","","39","0.0","0.0","","-0.1","0.0","0.0","sa736822"
"Caleb Whalen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".234",".286",".520",".226","","-100","0.0","0.0","","-0.1","0.0","","sa602651"
"Kevin Vicuna","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".247",".269",".515",".226","","35","0.0","0.0","","-0.1","0.0","0.0","sa872466"
"Brant Whiting","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".247",".258",".505",".226","","-100","0.0","0.0","","-0.1","0.0","","sa829519"
"Dillon Paulson","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".231",".288",".520",".226","","38","0.0","0.0","","-0.1","0.0","0.0","sa3007007"
"Alfredo Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".247",".266",".513",".226","","-100","0.0","0.0","","-0.1","0.0","","sa549427"
"Jacob Zanon","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".242",".272",".514",".226","","40","0.0","0.0","","-0.1","0.0","0.0","sa918370"
"J.D. Osborne","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".232",".291",".523",".226","","39","0.0","0.0","","-0.1","0.0","0.0","sa3005053"
"Alejandro Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".241",".276",".517",".226","","-100","0.0","0.0","","-0.1","0.0","","sa509640"
"Tirso Ornelas","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".246",".264",".510",".226","","37","0.0","0.0","","-0.1","0.0","0.0","sa3004048"
"Ruben Castro","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".246",".263",".509",".226","","39","0.0","0.0","","-0.1","0.0","0.0","sa829293"
"Enmanuel Zabala","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".240",".276",".516",".226","","-100","0.0","0.0","","-0.1","0.0","","sa736841"
"Kevin Josephina","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".247",".266",".514",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa830120"
"Bernabe Camargo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".244",".270",".514",".225","","-100","0.0","0.0","","-0.1","0.0","","sa3006881"
"Colton Frabasilio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".242",".269",".511",".225","","-100","0.0","0.0","","-0.1","0.0","","sa875382"
"Bobby Melley","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".235",".282",".518",".225","","37","0.0","0.0","","-0.1","0.0","0.0","sa827324"
"Humberto Sosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".241",".275",".516",".225","","-100","0.0","0.0","","-0.1","0.0","","sa454224"
"Eugene Helder","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".240",".277",".517",".225","","40","0.0","0.0","","-0.1","0.0","0.0","sa826786"
"Joe Dudek","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".176",".233",".285",".518",".225","","33","0.0","0.0","","-0.1","0.0","0.0","sa872720"
"Gilberto Jimenez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".238",".282",".521",".225","","30","0.0","0.0","","-0.1","0.0","0.0","sa3005507"
"Colby Schultz","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".243",".270",".513",".225","","33","0.0","0.0","","-0.1","0.0","0.0","sa3007099"
"Braxton Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".233",".285",".517",".225","","-100","0.0","0.0","","-0.1","0.0","","sa3005373"
"Ronnie Gideon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".227",".296",".522",".225","","-100","0.0","0.0","","-0.1","0.0","","sa738630"
"Adan Velazquez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".242",".275",".516",".225","","-100","0.0","0.0","","-0.1","0.0","","sa507254"
"Elvis Rubio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".233",".287",".520",".225","","-100","0.0","0.0","","-0.1","0.0","","sa597185"
"Bo Naylor","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".232",".287",".520",".225","","31","0.0","0.0","","-0.1","0.0","0.0","sa3008247"
"J.B. Woodman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".236",".278",".514",".225","","-100","0.0","0.0","","-0.1","0.0","","sa738989"
"Jacob Pearson","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".238",".279",".517",".225","","33","0.0","0.0","","-0.1","0.0","0.0","sa3004722"
"Desmond Lindsay","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".242",".265",".507",".225","","39","0.0","0.0","","-0.1","0.0","0.0","sa874792"
"Kole Cottam","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".240",".272",".513",".225","","30","0.0","0.0","","-0.1","0.0","0.0","sa3006780"
"J.C. Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".242",".273",".515",".225","","-100","0.0","0.0","","-0.1","0.0","","sa597094"
"Rafael Marchan","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".246",".270",".516",".225","","34","0.0","0.0","","-0.1","0.0","0.0","sa917160"
"Gene Cone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".249",".258",".507",".225","","-100","0.0","0.0","","-0.1","0.0","","sa874078"
"Armond Upshaw","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".250",".253",".503",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa918220"
"Trace Tam Sing","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".242",".269",".512",".225","","-100","0.0","0.0","","-0.1","0.0","","sa549579"
"Galli Cribbs Jr.","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".244",".267",".512",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa708444"
"Seaver Whalen","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".235",".281",".516",".225","","37","0.0","0.0","","-0.1","0.0","0.0","sa3003939"
"Zack Shannon","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".228",".295",".522",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa3006647"
"Frandy De La Rosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".238",".277",".515",".225","","-100","0.0","0.0","","-0.1","0.0","","sa736663"
"Valentin Gamez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".243",".272",".515",".225","","-100","0.0","0.0","","-0.1","0.0","","sa508053"
"Reydel Medina","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".223",".305",".529",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa830291"
"Tim Tebow","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".236",".277",".513",".225","","39","0.0","0.0","","-0.1","0.0","0.0","sa323152"
"Pabel Manzanero","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".223",".306",".529",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa736879"
"Garrett McCain","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".245",".262",".507",".225","","-100","0.0","0.0","","-0.1","0.0","","sa915823"
"Matt Reistetter","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".242",".268",".510",".225","","32","0.0","0.0","","-0.1","0.0","0.0","sa707779"
"Ismael Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".229",".294",".523",".225","","-100","0.0","0.0","","-0.1","0.0","","sa660373"
"Jesus Alberto Vega","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".234",".282",".516",".225","","-100","0.0","0.0","","-0.1","0.0","","sa199032"
"Hunter Feduccia","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".242",".269",".511",".225","","37","0.0","0.0","","-0.1","0.0","0.0","sa3007872"
"Donny Sands","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".242",".269",".511",".225","","33","0.0","0.0","","-0.1","0.0","0.0","sa875201"
"Daniel Brito","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".243",".268",".512",".225","","34","0.0","0.0","","-0.1","0.0","0.0","sa872732"
"Oscar Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".242",".268",".510",".225","","-100","0.0","0.0","","-0.1","0.0","","sa510244"
"Ricardo Serrano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".239",".277",".517",".225","","-100","0.0","0.0","","-0.1","0.0","","sa508489"
"Hunter Stovall","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".242",".270",".512",".225","","34","0.0","0.0","","-0.1","0.0","0.0","sa3008181"
"Jake Stone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".233",".284",".518",".224","","-100","0.0","0.0","","-0.1","0.0","","sa3004305"
"Jack Suwinski","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".237",".276",".513",".224","","36","0.0","0.0","","-0.1","0.0","0.0","sa918314"
"Jesus Navarro","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".244",".268",".512",".224","","34","0.0","0.0","","-0.1","0.0","0.0","sa872468"
"Austin Upshaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".231",".290",".521",".224","","-100","0.0","0.0","","-0.1","0.0","","sa3004498"
"Ramon R Ramirez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".235",".281",".517",".224","","-100","0.0","0.0","","-0.1","0.0","","sa509254"
"Orlando Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".247",".257",".505",".224","","-100","0.0","0.0","","-0.1","0.0","","sa915658"
"Nathan Rodriguez","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".239",".273",".512",".224","","32","0.0","0.0","","-0.1","0.0","0.0","sa829785"
"Connor Kaiser","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".248",".256",".504",".224","","35","0.0","0.0","","-0.1","0.0","0.0","sa3007823"
"Michael Curry","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".234",".281",".515",".224","","36","0.0","0.0","","-0.1","0.0","0.0","sa3006653"
"Nick Plummer","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".164",".247",".250",".498",".224","","35","0.0","0.0","","-0.1","0.0","0.0","sa874684"
"Tyler Depreta-Johnson","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".248",".258",".506",".224","","27","0.0","0.0","","-0.1","0.0","0.0","sa3006792"
"Manuel Guzman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".246",".262",".508",".224","","-100","0.0","0.0","","-0.1","0.0","","sa739471"
"Eduardo Revilla","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".234",".281",".515",".224","","-100","0.0","0.0","","-0.1","0.0","","sa870576"
"Michael Donadio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".230",".289",".518",".224","","-100","0.0","0.0","","-0.1","0.0","","sa857712"
"Nic Motley","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".232",".288",".519",".224","","18","0.0","0.0","","-0.1","0.0","0.0","sa3002761"
"Josh Stowers","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".241",".264",".506",".224","","33","0.0","0.0","","-0.1","0.0","0.0","sa3007010"
"Edwin Moreno","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".229",".295",".524",".224","","36","0.0","0.0","","-0.1","0.0","0.0","sa597061"
"Carlos Orrantia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".241",".272",".513",".224","","-100","0.0","0.0","","-0.1","0.0","","sa509454"
"Nick Podkul","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".246",".262",".507",".224","","34","0.0","0.0","","-0.1","0.0","0.0","sa3006720"
"Oliver Nunez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".243",".268",".511",".224","","-100","0.0","0.0","","-0.1","0.0","","sa828147"
"Frankie Tostado","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".231",".291",".522",".224","","36","0.0","0.0","","-0.1","0.0","0.0","sa3007030"
"Manuel Geraldo","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".244",".269",".513",".224","","36","0.0","0.0","","-0.1","0.0","0.0","sa827970"
"Chandler Taylor","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".158",".236",".268",".504",".224","","38","0.0","0.0","","-0.1","0.0","0.0","sa3006654"
"Tucker Tubbs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".235",".278",".513",".224","","-100","0.0","0.0","","-0.1","0.0","","sa827145"
"Justin Bridgman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".243",".270",".513",".224","","-100","0.0","0.0","","-0.1","0.0","","sa3004069"
"Daniel Sanchez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".237",".277",".514",".224","","-100","0.0","0.0","","-0.1","0.0","","sa736483"
"Victor Fernandez","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".234",".281",".515",".224","","35","0.0","0.0","","-0.1","0.0","0.0","sa828162"
"Emmanuel Tapia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".172",".223",".298",".520",".224","","-100","0.0","0.0","","-0.1","0.0","","sa736698"
"Erick Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".240",".275",".515",".224","","-100","0.0","0.0","","-0.1","0.0","","sa509641"
"Drew Turbin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".242",".265",".506",".224","","-100","0.0","0.0","","-0.1","0.0","","sa875724"
"Jonathan Ornelas","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".239",".275",".514",".224","","26","0.0","0.0","","-0.1","0.0","0.0","sa3006909"
"Blake Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".237",".276",".513",".223","","-100","0.0","0.0","","-0.1","0.0","","sa875641"
"Javier Guevara","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".236",".281",".516",".223","","18","0.0","0.0","","-0.1","0.0","0.0","sa872828"
"Jordan Groshans","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".236",".277",".513",".223","","34","0.0","0.0","","-0.1","0.0","0.0","sa3006893"
"Said Gutierrez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".233",".282",".515",".223","","-100","0.0","0.0","","-0.1","0.0","","sa198297"
