"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Yordan Alvarez","Astros","54","230","204","54","10","0","13","33","38","23","59","1","1","1","",".265",".341",".512",".853",".351","","124","0.1","0.0","","7.0","-5.2","1.0","19556"
"Jose Altuve","Astros","54","242","217","64","13","1","7","35","31","20","35","3","5","2","",".297",".361",".469",".830",".350","","123","0.0","-1.5","","7.3","-1.0","1.4","5417"
"Kyle Schwarber","Cubs","53","231","196","48","8","1","13","34","32","30","64","2","2","1","",".246",".349",".500",".849",".350","","115","0.3","1.0","","5.0","-1.2","1.1","16478"
"Matt Olson","Athletics","51","217","189","47","10","0","12","30","34","24","53","2","1","0","",".250",".338",".501",".840",".349","","121","-0.2","2.1","","5.5","-1.8","1.1","14344"
"Jose Abreu","White Sox","62","274","250","70","15","1","14","36","42","17","56","5","1","1","",".280",".334",".508",".841",".348","","119","-0.9","-1.2","","5.9","-6.3","0.9","15676"
"C.J. Cron","Twins","46","195","176","48","10","0","10","27","31","13","44","4","1","0","",".270",".331",".508",".839",".348","","116","-0.5","0.2","","3.4","-3.3","0.7","12546"
"Mike Moustakas","Brewers","48","206","186","49","10","0","12","28","34","16","35","2","1","0","",".264",".326",".518",".843",".348","","112","-0.7","-0.3","","2.7","0.4","1.0","4892"
"Tommy Pham","Rays","52","232","197","52","8","1","9","33","28","29","55","3","6","2","",".265",".364",".452",".816",".347","","120","0.7","2.0","","6.6","-0.9","1.4","2967"
"Shin-Soo Choo","Rangers","52","240","203","53","10","1","9","34","26","29","56","4","3","1","",".262",".363",".447",".810",".346","","109","-0.1","-1.8","","2.7","-5.4","0.6","3174"
"Ketel Marte","Diamondbacks","58","254","228","66","13","3","8","33","30","21","35","2","3","1","",".288",".350",".475",".825",".346","","111","0.2","1.8","","3.8","2.7","1.4","13613"
"Justin Smoak","Blue Jays","56","239","203","49","10","0","12","32","33","32","57","2","0","0","",".243",".349",".470",".819",".346","","116","-1.1","0.2","","3.9","-4.3","0.8","9054"
"Khris Davis","Athletics","58","250","221","55","10","0","16","35","42","24","69","3","0","0","",".247",".326",".510",".836",".346","","118","-0.7","-0.1","","5.2","-6.1","0.8","9112"
"Michael Conforto","Mets","56","239","203","50","11","0","11","31","32","30","58","3","2","1","",".248",".352",".470",".822",".346","","118","0.4","-1.1","","6.1","-2.8","1.1","16376"
"Corey Seager","Dodgers","53","228","200","56","13","0","8","30","29","23","42","2","1","0","",".277",".354",".464",".819",".345","","116","0.6","1.0","","5.5","3.2","1.6","13624"
"Michael Brantley","Astros","52","228","206","60","13","1","7","31","32","18","25","2","3","1","",".291",".352",".465",".817",".345","","120","0.2","-0.6","","6.0","-3.6","1.0","4106"
"Matt Carpenter","Cardinals","53","239","198","48","12","1","9","34","26","35","56","3","2","1","",".244",".361",".452",".813",".345","","114","0.0","-2.5","","4.3","-1.9","1.0","8090"
"Brandon Belt","Giants","51","224","188","48","11","1","7","28","26","31","50","2","2","1","",".255",".363",".446",".809",".345","","114","-0.1","1.8","","4.2","-1.6","1.0","10264"
"Max Muncy","Dodgers","52","222","188","46","8","1","11","30","30","29","56","2","1","1","",".245",".350",".465",".815",".344","","115","0.3","0.2","","4.8","-0.8","1.1","13301"
"Jon Kemmer","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".319",".512",".831",".344","","115","0.0","0.0","","0.0","0.0","0.0","sa738208"
"Nicholas Castellanos","Tigers","63","279","253","70","17","2","10","36","37","21","61","2","1","1","",".279",".337",".486",".823",".344","","115","-0.2","-3.8","","5.0","-7.1","0.8","11737"
"Miguel Cabrera","Tigers","52","228","201","56","11","0","8","28","29","24","47","2","0","0","",".280",".358",".455",".813",".343","","114","-1.5","0.0","","2.6","-4.9","0.6","1744"
"Howie Kendrick","Nationals","37","155","141","42","8","0","5","19","20","11","27","2","2","1","",".296",".351",".459",".809",".343","","109","-0.2","-0.1","","1.6","-0.8","0.6","4229"
"Andrew Benintendi","Red Sox","54","242","211","58","14","2","7","35","28","26","46","2","6","2","",".275",".356",".451",".807",".343","","110","0.6","0.8","","3.5","-1.6","1.0","17901"
"Eugenio Suarez","Reds","60","262","228","58","11","1","13","35","37","28","65","3","2","1","",".253",".340",".477",".817",".342","","108","-0.6","-0.4","","2.2","0.5","1.1","12552"
"Max Kepler","Twins","57","251","221","57","14","1","11","36","32","25","43","2","3","1","",".261",".338",".474",".813",".342","","111","0.6","2.8","","4.2","1.2","1.4","12144"
"Eddie Rosario","Twins","58","247","232","66","13","1","12","34","39","13","42","1","3","1","",".285",".322",".502",".824",".341","","111","0.9","0.7","","4.3","-1.9","1.1","12155"
"Jesse Winker","Reds","46","198","171","47","9","1","6","25","22","22","32","2","1","0","",".275",".361",".441",".802",".341","","107","-0.4","-1.7","","1.5","-3.0","0.5","13590"
